Name,Date,Description,Image,Link Button,Link
Involvement Fair,7/2/2025,"Come say hi to us at the Fall 2025 Student Involvement fair! We'll be on the Oval Sunday August 24, from 4-7pm along with all the other student organizations. Hope to see you there!",sase_trifold.jpg,Map for Involvement Fair,https://www.instagram.com/saseosu/
Meet your new E-board,7/2/2025,SASE OSU 2025-2026 Executive board has been announced. Follow us on instagram and see who the new members are!,guesswho.png,Meet the Board,pages/meetTeam.html
Fall GBM Scoop N' Science,8/28/2025,"Join SASE for our first GBM of the year where you will learn all about the history and science behind ice cream! Get to know other members as you create your own ice cream out of simple ingredients!",guesswho.png,Events Calendar,Pages/calendar.html
Test,11/1/2024,this is the test,guesswho.png,test button,Pages/meetTeam.html
