Title, Image
First General Body Meeting 2023-2024, First General Body Meeting 2023-2024.jpg
SASE X Catepillar Resume Review, SASE X Catepillar Resume Review.jpg
SASE X P&G Career Fair Prep, SASE X P&G Career Fair Prep.jpg
SASE 2024 Fall General Body Meeting, SASE 2024 fall GBM.jpg
SASE X Eaton Pins, SASE pins.jpg
SASE X ABSA Pitch Competition, SASE pitch comp.jpg
SASE 2024-2025 National Conference, SASE 2024 NC.jpg
SASE Spring General Body Meeting, SASE spring GBM.jpg 
